i,X,Y,Z
0,131 , 65436 , 65385
1,131 , 65436 , 65385
2,131 , 65436 , 65386
3,131 , 65435 , 65386
4,131 , 65435 , 65385
5,130 , 65435 , 65386
6,130 , 65435 , 65386
7,131 , 65436 , 65385
8,131 , 65434 , 65386
9,130 , 65435 , 65384
10,131 , 65435 , 65387
11,131 , 65435 , 65387
12,130 , 65436 , 65386
13,131 , 65435 , 65386
14,130 , 65435 , 65386
15,131 , 65435 , 65387
16,131 , 65435 , 65387
17,131 , 65436 , 65387
18,131 , 65435 , 65386
19,130 , 65436 , 65387
20,130 , 65436 , 65387
21,130 , 65435 , 65385
22,131 , 65435 , 65385
23,130 , 65435 , 65386
24,131 , 65435 , 65386
25,131 , 65435 , 65386
26,130 , 65435 , 65384
27,131 , 65435 , 65386
28,130 , 65435 , 65386
29,131 , 65435 , 65385
30,131 , 65435 , 65385
31,130 , 65436 , 65386
32,130 , 65435 , 65386
33,131 , 65435 , 65386
34,130 , 65436 , 65386
35,130 , 65436 , 65386
36,130 , 65436 , 65385
37,130 , 65435 , 65386
38,130 , 65436 , 65386
39,131 , 65436 , 65386
40,131 , 65436 , 65386
41,130 , 65435 , 65386
42,131 , 65436 , 65386
43,130 , 65435 , 65386
44,131 , 65436 , 65386
45,131 , 65436 , 65386
46,131 , 65435 , 65385
47,130 , 65436 , 65385
48,130 , 65436 , 65386
49,131 , 65435 , 65385
50,131 , 65435 , 65385
51,131 , 65435 , 65386
52,131 , 65436 , 65386
53,131 , 65435 , 65388
54,130 , 65436 , 65386
55,130 , 65436 , 65386
56,129 , 65435 , 65386
57,129 , 65435 , 65386
58,131 , 65435 , 65385
59,130 , 65435 , 65387
60,130 , 65435 , 65387
61,131 , 65435 , 65386
62,130 , 65436 , 65386
63,131 , 65435 , 65386
64,130 , 65436 , 65386
65,130 , 65436 , 65386
66,130 , 65435 , 65386
67,130 , 65435 , 65386
68,131 , 65435 , 65385
69,130 , 65436 , 65386
70,130 , 65436 , 65386
71,131 , 65436 , 65387
72,130 , 65435 , 65386
73,130 , 65436 , 65386
74,131 , 65435 , 65386
75,131 , 65435 , 65386
76,130 , 65436 , 65386
77,131 , 65435 , 65386
78,130 , 65435 , 65386
79,130 , 65436 , 65387
80,130 , 65436 , 65387
81,131 , 65435 , 65385
82,131 , 65435 , 65386
83,131 , 65437 , 65384
84,130 , 65436 , 65386
85,130 , 65436 , 65386
86,130 , 65435 , 65386
87,130 , 65436 , 65386
88,131 , 65435 , 65386
89,130 , 65435 , 65386
90,130 , 65435 , 65386
91,130 , 65436 , 65386
92,130 , 65436 , 65386
93,130 , 65434 , 65386
94,130 , 65435 , 65386
95,130 , 65435 , 65386
96,130 , 65435 , 65385
97,131 , 65436 , 65385
98,130 , 65435 , 65386
99,130 , 65436 , 65385
100,130 , 65436 , 65385
101,130 , 65435 , 65386
102,129 , 65436 , 65386
103,131 , 65436 , 65386
104,131 , 65436 , 65387
105,131 , 65436 , 65387
106,130 , 65437 , 65386
107,130 , 65436 , 65386
108,130 , 65437 , 65386
109,129 , 65437 , 65385
110,129 , 65437 , 65385
111,131 , 65436 , 65386
112,129 , 65436 , 65385
113,130 , 65437 , 65383
114,131 , 65437 , 65384
115,131 , 65437 , 65384
116,131 , 65438 , 65385
117,131 , 65438 , 65385
118,132 , 65439 , 65383
119,133 , 65440 , 65381
120,133 , 65440 , 65381
121,133 , 65441 , 65381
122,133 , 65441 , 65381
123,135 , 65447 , 65378
124,135 , 65446 , 65377
125,135 , 65446 , 65377
126,136 , 65447 , 65377
127,136 , 65447 , 65377
128,140 , 65456 , 65367
129,141 , 65457 , 65365
130,141 , 65457 , 65365
131,144 , 65457 , 65363
132,144 , 65457 , 65363
133,168 , 65455 , 65348
134,172 , 65453 , 65347
135,172 , 65453 , 65347
136,175 , 65452 , 65346
137,175 , 65452 , 65346
138,170 , 65423 , 65347
139,167 , 65421 , 65347
140,167 , 65421 , 65347
141,163 , 65423 , 65348
142,163 , 65423 , 65348
143,148 , 65441 , 65359
144,149 , 65443 , 65361
145,149 , 65443 , 65361
146,151 , 65446 , 65363
147,151 , 65446 , 65363
148,183 , 65413 , 65374
149,179 , 65405 , 65373
150,179 , 65405 , 65373
151,174 , 65398 , 65373
152,174 , 65398 , 65373
153,150 , 65412 , 65361
154,150 , 65413 , 65358
155,150 , 65413 , 65358
156,153 , 65412 , 65356
157,153 , 65412 , 65356
158,158 , 65411 , 65346
159,160 , 65408 , 65346
160,160 , 65408 , 65346
161,161 , 65405 , 65345
162,161 , 65405 , 65345
163,145 , 65374 , 65346
164,143 , 65373 , 65345
165,143 , 65373 , 65345
166,138 , 65372 , 65343
167,138 , 65372 , 65343
168,121 , 65375 , 65332
169,120 , 65376 , 65331
170,120 , 65376 , 65331
171,119 , 65375 , 65332
172,119 , 65375 , 65332
173,115 , 65377 , 65325
174,115 , 65378 , 65326
175,115 , 65378 , 65326
176,115 , 65377 , 65326
177,115 , 65377 , 65326
178,115 , 65378 , 65326
179,116 , 65377 , 65325
180,116 , 65377 , 65325
181,115 , 65378 , 65325
182,115 , 65378 , 65325
183,117 , 65373 , 65329
184,117 , 65374 , 65329
185,117 , 65374 , 65329
186,116 , 65374 , 65329
187,116 , 65374 , 65329
188,117 , 65374 , 65329
189,117 , 65375 , 65328
190,117 , 65375 , 65328
191,118 , 65374 , 65328
192,118 , 65374 , 65328
193,117 , 65374 , 65328
194,117 , 65375 , 65328
195,117 , 65375 , 65328
196,119 , 65373 , 65329
197,119 , 65373 , 65329
198,117 , 65374 , 65328
199,116 , 65374 , 65328
200,116 , 65374 , 65328
201,118 , 65374 , 65329
202,118 , 65374 , 65329
203,116 , 65374 , 65329
204,117 , 65374 , 65329
205,117 , 65374 , 65329
206,117 , 65375 , 65329
207,117 , 65375 , 65329
208,117 , 65375 , 65329
209,117 , 65374 , 65329
210,117 , 65374 , 65329
211,118 , 65375 , 65328
212,118 , 65375 , 65328
213,118 , 65375 , 65328
214,118 , 65375 , 65328
215,117 , 65374 , 65328
216,117 , 65373 , 65329
217,117 , 65373 , 65329
218,118 , 65374 , 65329
219,118 , 65374 , 65329
220,118 , 65374 , 65328
221,117 , 65375 , 65329
222,117 , 65375 , 65329
223,117 , 65375 , 65328
224,117 , 65375 , 65328
225,117 , 65374 , 65326
226,118 , 65374 , 65329
227,118 , 65374 , 65329
228,117 , 65375 , 65330
229,117 , 65375 , 65330
230,117 , 65375 , 65328
231,117 , 65375 , 65330
232,117 , 65375 , 65330
233,116 , 65375 , 65329
234,116 , 65375 , 65329
235,116 , 65374 , 65328
236,117 , 65375 , 65328
237,117 , 65375 , 65328
238,117 , 65374 , 65329
239,117 , 65374 , 65329
240,116 , 65374 , 65329
241,119 , 65375 , 65329
242,119 , 65375 , 65329
243,118 , 65375 , 65329
244,118 , 65375 , 65329
245,117 , 65375 , 65329
246,117 , 65374 , 65329
247,117 , 65374 , 65329
248,118 , 65373 , 65327
249,118 , 65373 , 65327
250,117 , 65374 , 65328
251,118 , 65374 , 65328
252,118 , 65374 , 65328
253,117 , 65374 , 65329
254,117 , 65374 , 65329
255,118 , 65375 , 65329
256,117 , 65374 , 65328
257,117 , 65374 , 65328
258,117 , 65374 , 65328
259,117 , 65374 , 65328
260,117 , 65375 , 65328
261,118 , 65374 , 65329
262,118 , 65374 , 65329
263,117 , 65374 , 65328
264,117 , 65374 , 65328
265,118 , 65374 , 65329
266,118 , 65375 , 65328
267,118 , 65375 , 65328
268,118 , 65375 , 65329
269,118 , 65375 , 65329
270,117 , 65373 , 65329
271,117 , 65375 , 65330
272,117 , 65375 , 65330
273,117 , 65375 , 65329
274,117 , 65375 , 65329
275,117 , 65374 , 65328
276,117 , 65374 , 65329
277,117 , 65374 , 65329
278,118 , 65374 , 65330
279,118 , 65374 , 65330
280,118 , 65375 , 65328
281,117 , 65375 , 65328
282,117 , 65375 , 65328
283,116 , 65374 , 65330
284,116 , 65374 , 65330
285,116 , 65375 , 65328
286,117 , 65375 , 65329
287,117 , 65375 , 65329
288,118 , 65375 , 65329
289,118 , 65375 , 65329
290,117 , 65375 , 65327
291,116 , 65374 , 65329
292,116 , 65374 , 65329
293,117 , 65374 , 65329
294,117 , 65374 , 65329
295,118 , 65375 , 65328
296,118 , 65374 , 65329
297,118 , 65374 , 65329
298,117 , 65374 , 65328
299,117 , 65374 , 65328
300,118 , 65375 , 65329
301,118 , 65374 , 65329
302,116 , 65374 , 65329
303,117 , 65375 , 65328
304,117 , 65375 , 65328
305,117 , 65375 , 65329
306,117 , 65375 , 65329
307,117 , 65374 , 65329
308,118 , 65374 , 65329
309,118 , 65374 , 65329
310,117 , 65374 , 65329
311,117 , 65374 , 65329
312,117 , 65374 , 65329
313,118 , 65374 , 65329
314,118 , 65374 , 65329
315,117 , 65374 , 65329
316,117 , 65374 , 65329
317,117 , 65374 , 65327
318,117 , 65374 , 65328
319,117 , 65374 , 65328
320,118 , 65375 , 65328
321,118 , 65375 , 65328
322,116 , 65374 , 65328
323,118 , 65375 , 65328
324,118 , 65375 , 65328
325,118 , 65374 , 65328
326,118 , 65374 , 65328
327,118 , 65375 , 65329
328,117 , 65374 , 65329
329,117 , 65374 , 65329
330,117 , 65374 , 65328
331,117 , 65374 , 65328
332,117 , 65374 , 65328
333,117 , 65374 , 65329
334,117 , 65374 , 65329
335,118 , 65375 , 65329
336,118 , 65375 , 65329
337,118 , 65374 , 65329
338,118 , 65375 , 65329
339,118 , 65375 , 65329
340,117 , 65374 , 65329
341,117 , 65374 , 65329
342,118 , 65374 , 65334
343,120 , 65372 , 65334
344,120 , 65372 , 65334
345,119 , 65373 , 65335
346,119 , 65373 , 65335
347,119 , 65372 , 65334
348,120 , 65373 , 65327
349,120 , 65373 , 65327
350,122 , 65371 , 65330
351,122 , 65371 , 65330
352,120 , 65372 , 65330
353,120 , 65372 , 65331
354,120 , 65372 , 65331
355,121 , 65373 , 65330
356,121 , 65373 , 65330
357,122 , 65372 , 65332
358,121 , 65372 , 65332
359,121 , 65372 , 65332
360,121 , 65372 , 65331
361,121 , 65372 , 65331
362,121 , 65372 , 65331
363,121 , 65372 , 65331
364,121 , 65372 , 65331
365,121 , 65372 , 65332
366,121 , 65372 , 65332
367,122 , 65372 , 65333
368,123 , 65372 , 65336
369,124 , 65372 , 65336
370,125 , 65371 , 65336
371,125 , 65371 , 65336
372,124 , 65372 , 65336
373,123 , 65372 , 65336
374,123 , 65372 , 65336
375,123 , 65371 , 65339
376,123 , 65371 , 65339
377,122 , 65373 , 65338
378,122 , 65372 , 65338
379,122 , 65372 , 65337
380,123 , 65372 , 65338
381,123 , 65372 , 65338
382,123 , 65371 , 65339
383,124 , 65372 , 65339
384,123 , 65372 , 65338
385,123 , 65372 , 65338
386,123 , 65372 , 65338
387,122 , 65371 , 65340
388,123 , 65371 , 65338
389,123 , 65371 , 65339
390,122 , 65371 , 65339
391,122 , 65371 , 65339
392,123 , 65371 , 65338
393,122 , 65372 , 65337
394,123 , 65372 , 65338
395,123 , 65372 , 65338
396,123 , 65372 , 65338
397,123 , 65373 , 65338
398,123 , 65370 , 65338
399,122 , 65372 , 65338
400,124 , 65372 , 65339
401,124 , 65372 , 65339
402,123 , 65373 , 65339
403,121 , 65372 , 65334
404,121 , 65372 , 65334
405,122 , 65372 , 65334
406,122 , 65372 , 65334
407,122 , 65372 , 65334
408,121 , 65372 , 65335
409,121 , 65371 , 65335
410,122 , 65372 , 65333
411,122 , 65372 , 65333
412,123 , 65371 , 65333
413,123 , 65372 , 65333
414,122 , 65371 , 65333
415,122 , 65372 , 65333
416,122 , 65372 , 65333
417,121 , 65373 , 65334
418,121 , 65372 , 65334
419,122 , 65371 , 65335
420,123 , 65372 , 65335
421,123 , 65372 , 65335
422,120 , 65373 , 65335
423,122 , 65372 , 65335
424,122 , 65371 , 65335
425,121 , 65373 , 65334
426,121 , 65373 , 65334
427,122 , 65371 , 65334
428,122 , 65372 , 65335
429,121 , 65372 , 65334
430,122 , 65371 , 65334
431,122 , 65371 , 65334
432,122 , 65372 , 65333
433,122 , 65372 , 65333
434,122 , 65372 , 65335
435,122 , 65372 , 65334
436,122 , 65372 , 65334
437,122 , 65373 , 65334
438,121 , 65372 , 65333
439,122 , 65373 , 65334
440,122 , 65373 , 65335
441,122 , 65373 , 65335
442,122 , 65372 , 65334
443,122 , 65372 , 65334
444,121 , 65371 , 65334
445,121 , 65371 , 65334
446,122 , 65371 , 65334
447,121 , 65371 , 65334
448,122 , 65371 , 65334
449,121 , 65371 , 65333
450,121 , 65371 , 65333
451,122 , 65371 , 65334
452,122 , 65372 , 65335
453,123 , 65372 , 65333
454,121 , 65372 , 65331
455,121 , 65372 , 65331
456,118 , 65372 , 65331
457,118 , 65374 , 65331
458,120 , 65372 , 65331
459,120 , 65373 , 65332
460,120 , 65373 , 65332
461,118 , 65372 , 65331
462,120 , 65373 , 65331
463,121 , 65374 , 65334
464,120 , 65372 , 65331
465,120 , 65372 , 65331
466,120 , 65374 , 65332
467,121 , 65372 , 65331
468,121 , 65372 , 65332
469,121 , 65371 , 65332
470,121 , 65371 , 65332
471,119 , 65372 , 65332
472,120 , 65371 , 65330
473,121 , 65373 , 65331
474,121 , 65371 , 65332
475,121 , 65371 , 65332
476,123 , 65372 , 65337
477,121 , 65371 , 65335
478,122 , 65371 , 65337
479,122 , 65371 , 65337
480,122 , 65371 , 65337
481,124 , 65371 , 65337
482,124 , 65371 , 65337
483,126 , 65369 , 65338
484,126 , 65370 , 65338
485,126 , 65370 , 65338
486,128 , 65369 , 65339
487,128 , 65370 , 65340
488,138 , 65369 , 65345
489,142 , 65370 , 65344
490,142 , 65370 , 65344
491,144 , 65371 , 65346
492,146 , 65371 , 65347
493,160 , 65407 , 65345
494,158 , 65411 , 65345
495,158 , 65411 , 65345
496,156 , 65411 , 65345
497,155 , 65410 , 65346
498,166 , 65394 , 65372
499,180 , 65404 , 65374
500,180 , 65404 , 65374
501,186 , 65424 , 65373
502,178 , 65441 , 65370
503,178 , 65430 , 65344
504,180 , 65438 , 65344
505,180 , 65438 , 65344
506,177 , 65446 , 65344
507,172 , 65452 , 65346
508,139 , 65451 , 65370
509,137 , 65450 , 65372
510,137 , 65450 , 65372
511,138 , 65448 , 65373
512,137 , 65447 , 65375
513,133 , 65440 , 65379
514,134 , 65441 , 65381
515,134 , 65441 , 65381
516,133 , 65440 , 65382
517,133 , 65440 , 65382
518,130 , 65437 , 65385
519,131 , 65436 , 65384
520,131 , 65436 , 65384
521,131 , 65436 , 65385
522,131 , 65436 , 65385
523,130 , 65436 , 65386
524,131 , 65436 , 65386
525,131 , 65436 , 65386
526,131 , 65436 , 65386
527,131 , 65436 , 65386
528,131 , 65435 , 65385
529,131 , 65435 , 65386
530,131 , 65435 , 65386
531,131 , 65435 , 65386
532,131 , 65435 , 65386
533,131 , 65436 , 65385
534,130 , 65435 , 65385
535,130 , 65435 , 65385
536,131 , 65435 , 65385
537,131 , 65435 , 65385
538,130 , 65435 , 65386
539,130 , 65435 , 65385
540,130 , 65435 , 65385
541,131 , 65436 , 65386
542,131 , 65436 , 65386
543,131 , 65436 , 65386
544,130 , 65435 , 65386
545,130 , 65435 , 65386
546,130 , 65435 , 65385
547,130 , 65435 , 65385
548,130 , 65436 , 65386
549,131 , 65435 , 65386
550,131 , 65435 , 65386
551,130 , 65435 , 65386
552,130 , 65435 , 65386
553,131 , 65434 , 65385
554,132 , 65436 , 65385
