i,X,Y,Z
0,65272 , 65391 , 65491
1,65271 , 65393 , 65492
2,65271 , 65393 , 65492
3,65272 , 65392 , 65491
4,65272 , 65392 , 65491
5,65271 , 65392 , 65492
6,65271 , 65392 , 65492
7,65271 , 65392 , 65492
8,65272 , 65392 , 65492
9,65272 , 65391 , 65493
10,65271 , 65391 , 65493
11,65272 , 65391 , 65492
12,65272 , 65391 , 65492
13,65272 , 65392 , 65492
14,65272 , 65392 , 65492
15,65272 , 65392 , 65492
16,65271 , 65393 , 65493
17,65271 , 65393 , 65493
18,65272 , 65392 , 65493
19,65271 , 65393 , 65491
20,65271 , 65393 , 65491
21,65272 , 65392 , 65493
22,65272 , 65392 , 65493
23,65272 , 65391 , 65491
24,65272 , 65393 , 65492
25,65272 , 65393 , 65492
26,65271 , 65391 , 65492
27,65272 , 65391 , 65492
28,65272 , 65391 , 65491
29,65271 , 65392 , 65492
30,65271 , 65392 , 65492
31,65271 , 65391 , 65492
32,65272 , 65392 , 65492
33,65272 , 65393 , 65492
34,65271 , 65392 , 65492
35,65271 , 65392 , 65492
36,65271 , 65392 , 65492
37,65271 , 65393 , 65492
38,65271 , 65392 , 65491
39,65272 , 65392 , 65491
40,65272 , 65392 , 65491
41,65272 , 65393 , 65492
42,65271 , 65391 , 65492
43,65272 , 65391 , 65491
44,65272 , 65391 , 65491
45,65272 , 65392 , 65491
46,65272 , 65392 , 65491
47,65272 , 65392 , 65492
48,65272 , 65392 , 65492
49,65272 , 65393 , 65492
50,65272 , 65392 , 65493
51,65272 , 65392 , 65493
52,65272 , 65393 , 65491
53,65272 , 65392 , 65491
54,65271 , 65392 , 65492
55,65272 , 65392 , 65492
56,65272 , 65392 , 65492
57,65272 , 65392 , 65492
58,65271 , 65392 , 65492
59,65272 , 65391 , 65491
60,65271 , 65392 , 65491
61,65271 , 65392 , 65491
62,65271 , 65391 , 65493
63,65272 , 65392 , 65492
64,65272 , 65392 , 65492
65,65272 , 65392 , 65492
66,65272 , 65392 , 65492
67,65271 , 65393 , 65493
68,65271 , 65392 , 65492
69,65271 , 65392 , 65492
70,65272 , 65393 , 65492
71,65272 , 65393 , 65492
72,65272 , 65392 , 65493
73,65272 , 65391 , 65492
74,65272 , 65391 , 65492
75,65271 , 65391 , 65493
76,65271 , 65391 , 65493
77,65271 , 65392 , 65492
78,65272 , 65393 , 65492
79,65272 , 65393 , 65492
80,65271 , 65392 , 65493
81,65272 , 65392 , 65492
82,65272 , 65392 , 65492
83,65272 , 65391 , 65493
84,65272 , 65391 , 65493
85,65271 , 65393 , 65492
86,65271 , 65393 , 65493
87,65271 , 65393 , 65493
88,65271 , 65392 , 65492
89,65271 , 65392 , 65492
90,65271 , 65392 , 65492
91,65271 , 65392 , 65494
92,65271 , 65392 , 65494
93,65272 , 65393 , 65492
94,65272 , 65393 , 65492
95,65271 , 65392 , 65492
96,65271 , 65392 , 65492
97,65271 , 65392 , 65492
98,65272 , 65392 , 65491
99,65272 , 65392 , 65492
100,65272 , 65392 , 65492
101,65272 , 65392 , 65491
102,65272 , 65392 , 65491
103,65272 , 65392 , 65492
104,65272 , 65393 , 65491
105,65272 , 65393 , 65491
106,65272 , 65392 , 65492
107,65272 , 65392 , 65492
108,65272 , 65393 , 65492
109,65271 , 65392 , 65492
110,65271 , 65392 , 65492
111,65271 , 65392 , 65492
112,65271 , 65392 , 65492
113,65272 , 65392 , 65492
114,65272 , 65392 , 65492
115,65272 , 65392 , 65492
116,65271 , 65392 , 65492
117,65271 , 65392 , 65492
118,65272 , 65392 , 65492
119,65271 , 65391 , 65491
120,65271 , 65391 , 65491
121,65271 , 65392 , 65492
122,65271 , 65392 , 65492
123,65272 , 65391 , 65492
124,65272 , 65392 , 65492
125,65272 , 65392 , 65492
126,65272 , 65391 , 65492
127,65272 , 65393 , 65492
128,65271 , 65392 , 65491
129,65270 , 65392 , 65491
130,65270 , 65392 , 65491
131,65272 , 65392 , 65492
132,65271 , 65392 , 65492
133,65271 , 65391 , 65492
134,65272 , 65392 , 65492
135,65272 , 65392 , 65492
136,65271 , 65390 , 65492
137,65271 , 65392 , 65492
138,65271 , 65392 , 65492
139,65271 , 65393 , 65492
140,65271 , 65392 , 65492
141,65271 , 65392 , 65492
142,65273 , 65393 , 65492
143,65272 , 65393 , 65493
144,65272 , 65393 , 65492
145,65272 , 65392 , 65491
146,65272 , 65392 , 65491
147,65271 , 65392 , 65492
148,65271 , 65392 , 65491
149,65272 , 65393 , 65492
150,65271 , 65391 , 65491
151,65271 , 65391 , 65491
152,65272 , 65392 , 65492
153,65272 , 65392 , 65492
154,65271 , 65391 , 65492
155,65271 , 65392 , 65492
156,65271 , 65392 , 65492
157,65271 , 65392 , 65492
158,65272 , 65392 , 65492
159,65272 , 65392 , 65492
160,65272 , 65393 , 65493
161,65272 , 65393 , 65493
162,65272 , 65392 , 65491
163,65272 , 65392 , 65491
164,65272 , 65392 , 65491
165,65271 , 65393 , 65492
166,65271 , 65393 , 65492
167,65272 , 65392 , 65492
168,65272 , 65394 , 65492
169,65272 , 65394 , 65492
170,65272 , 65394 , 65491
171,65272 , 65394 , 65491
172,65273 , 65392 , 65490
173,65278 , 65396 , 65492
174,65278 , 65396 , 65492
175,65279 , 65397 , 65490
176,65279 , 65398 , 65491
177,65279 , 65398 , 65491
178,65295 , 65403 , 65490
179,65295 , 65403 , 65490
180,65298 , 65403 , 65489
181,65302 , 65403 , 65488
182,65302 , 65403 , 65488
183,65341 , 65376 , 65485
184,65341 , 65376 , 65485
185,65342 , 65370 , 65485
186,65342 , 65365 , 65486
187,65342 , 65365 , 65486
188,65333 , 65337 , 65485
189,65333 , 65337 , 65485
190,65331 , 65337 , 65484
191,65328 , 65335 , 65483
192,65328 , 65335 , 65483
193,65319 , 65317 , 65477
194,65319 , 65315 , 65478
195,65319 , 65315 , 65478
196,65317 , 65312 , 65477
197,65317 , 65312 , 65477
198,65268 , 65284 , 65463
199,65262 , 65284 , 65460
200,65262 , 65284 , 65460
201,65254 , 65287 , 65460
202,65254 , 65287 , 65460
203,65223 , 65321 , 65443
204,65222 , 65323 , 65440
205,65222 , 65323 , 65440
206,65220 , 65326 , 65437
207,65220 , 65326 , 65437
208,65203 , 65357 , 65387
209,65202 , 65364 , 65379
210,65202 , 65364 , 65379
211,65199 , 65369 , 65372
212,65198 , 65377 , 65366
213,65215 , 65443 , 65357
214,65220 , 65449 , 65360
215,65220 , 65449 , 65360
216,65225 , 65452 , 65362
217,65229 , 65454 , 65364
218,65243 , 65460 , 65373
219,65245 , 65460 , 65372
220,65245 , 65460 , 65372
221,65245 , 65461 , 65373
222,65243 , 65461 , 65372
223,65244 , 65460 , 65372
224,65244 , 65464 , 65377
225,65244 , 65464 , 65377
226,65242 , 65463 , 65375
227,65244 , 65464 , 65376
228,65243 , 65463 , 65376
229,65243 , 65463 , 65376
230,65243 , 65465 , 65376
231,65243 , 65465 , 65376
232,65242 , 65464 , 65376
233,65244 , 65462 , 65377
234,65242 , 65467 , 65380
235,65241 , 65466 , 65378
236,65241 , 65466 , 65378
237,65242 , 65467 , 65379
238,65243 , 65466 , 65380
239,65241 , 65467 , 65379
240,65242 , 65466 , 65379
241,65242 , 65466 , 65379
242,65242 , 65466 , 65380
243,65243 , 65464 , 65380
244,65243 , 65466 , 65380
245,65244 , 65465 , 65378
246,65244 , 65465 , 65378
247,65244 , 65465 , 65378
248,65241 , 65466 , 65381
249,65241 , 65465 , 65381
250,65241 , 65465 , 65383
251,65241 , 65465 , 65383
252,65240 , 65465 , 65383
253,65242 , 65465 , 65383
254,65242 , 65465 , 65383
255,65241 , 65465 , 65384
256,65241 , 65465 , 65384
257,65241 , 65466 , 65383
258,65242 , 65466 , 65384
259,65242 , 65466 , 65384
260,65241 , 65465 , 65382
261,65241 , 65465 , 65382
262,65241 , 65467 , 65383
263,65241 , 65466 , 65383
264,65241 , 65466 , 65383
265,65240 , 65464 , 65384
266,65240 , 65464 , 65384
267,65241 , 65465 , 65383
268,65241 , 65466 , 65383
269,65241 , 65466 , 65383
270,65241 , 65466 , 65382
271,65240 , 65465 , 65383
272,65240 , 65465 , 65383
273,65241 , 65466 , 65384
274,65241 , 65466 , 65384
275,65241 , 65465 , 65383
276,65240 , 65465 , 65383
277,65240 , 65465 , 65383
278,65242 , 65465 , 65382
279,65242 , 65465 , 65382
280,65240 , 65465 , 65383
281,65240 , 65466 , 65382
282,65240 , 65466 , 65382
283,65240 , 65465 , 65383
284,65240 , 65465 , 65383
285,65241 , 65465 , 65383
286,65241 , 65465 , 65384
287,65241 , 65465 , 65384
288,65240 , 65465 , 65384
289,65240 , 65465 , 65384
290,65241 , 65466 , 65384
291,65241 , 65466 , 65382
292,65241 , 65466 , 65382
293,65241 , 65465 , 65383
294,65240 , 65465 , 65383
295,65240 , 65465 , 65383
296,65242 , 65466 , 65383
297,65242 , 65466 , 65383
298,65242 , 65465 , 65384
299,65240 , 65465 , 65382
300,65240 , 65465 , 65382
301,65242 , 65466 , 65383
302,65242 , 65466 , 65383
303,65242 , 65466 , 65383
304,65241 , 65465 , 65384
305,65241 , 65465 , 65384
306,65240 , 65465 , 65383
307,65240 , 65465 , 65383
308,65240 , 65467 , 65384
309,65241 , 65465 , 65383
310,65241 , 65465 , 65383
311,65241 , 65466 , 65385
312,65241 , 65465 , 65383
313,65240 , 65465 , 65385
314,65240 , 65467 , 65384
315,65240 , 65467 , 65384
316,65242 , 65465 , 65382
317,65241 , 65466 , 65383
318,65241 , 65465 , 65384
319,65241 , 65466 , 65383
320,65241 , 65466 , 65383
321,65240 , 65465 , 65383
322,65241 , 65466 , 65382
323,65241 , 65465 , 65383
324,65240 , 65466 , 65383
325,65240 , 65466 , 65383
326,65240 , 65465 , 65383
327,65241 , 65465 , 65384
328,65241 , 65466 , 65382
329,65240 , 65465 , 65383
330,65240 , 65465 , 65384
331,65240 , 65465 , 65384
332,65241 , 65465 , 65383
333,65241 , 65465 , 65382
334,65240 , 65464 , 65383
335,65240 , 65466 , 65383
336,65240 , 65466 , 65383
337,65241 , 65465 , 65383
338,65241 , 65465 , 65383
339,65241 , 65465 , 65383
340,65241 , 65465 , 65384
341,65241 , 65465 , 65384
342,65241 , 65467 , 65382
343,65242 , 65465 , 65383
344,65240 , 65466 , 65382
345,65242 , 65465 , 65383
346,65242 , 65465 , 65383
347,65241 , 65466 , 65383
348,65241 , 65465 , 65382
349,65241 , 65465 , 65382
350,65241 , 65466 , 65383
351,65241 , 65466 , 65383
352,65240 , 65465 , 65384
353,65241 , 65466 , 65382
354,65241 , 65466 , 65382
355,65240 , 65466 , 65382
356,65240 , 65466 , 65382
357,65241 , 65466 , 65384
358,65240 , 65465 , 65383
359,65240 , 65465 , 65383
360,65241 , 65466 , 65383
361,65241 , 65466 , 65383
362,65240 , 65465 , 65382
363,65241 , 65466 , 65383
364,65241 , 65466 , 65383
365,65241 , 65467 , 65382
366,65241 , 65467 , 65382
367,65240 , 65464 , 65383
368,65240 , 65465 , 65382
369,65240 , 65465 , 65382
370,65240 , 65466 , 65382
371,65241 , 65466 , 65383
372,65241 , 65466 , 65383
373,65241 , 65464 , 65383
374,65241 , 65464 , 65383
375,65241 , 65466 , 65383
