i,X,Y,Z
0,0 , 65368 , 111
1,0 , 65368 , 111
2,0 , 65367 , 113
3,65535 , 65367 , 114
4,0 , 65368 , 113
5,0 , 65368 , 113
6,65535 , 65370 , 112
7,65535 , 65370 , 113
8,65535 , 65369 , 112
9,65534 , 65369 , 112
10,65534 , 65369 , 112
11,0 , 65369 , 112
12,65534 , 65369 , 113
13,65535 , 65369 , 112
14,65535 , 65370 , 112
15,65535 , 65370 , 112
16,0 , 65368 , 112
17,0 , 65368 , 112
18,65535 , 65369 , 111
19,65535 , 65368 , 113
20,65535 , 65368 , 113
21,0 , 65368 , 111
22,0 , 65368 , 111
23,65535 , 65368 , 112
24,0 , 65368 , 112
25,0 , 65368 , 112
26,0 , 65368 , 112
27,0 , 65368 , 112
28,0 , 65369 , 112
29,0 , 65369 , 112
30,65534 , 65369 , 113
31,0 , 65368 , 111
32,0 , 65368 , 111
33,65535 , 65368 , 112
34,65535 , 65368 , 112
35,65535 , 65369 , 112
36,65535 , 65369 , 112
37,0 , 65368 , 111
38,65535 , 65368 , 112
39,65535 , 65368 , 112
40,65535 , 65368 , 112
41,65535 , 65368 , 112
42,65534 , 65368 , 112
43,0 , 65369 , 111
44,0 , 65369 , 111
45,65535 , 65369 , 112
46,65535 , 65369 , 112
47,65535 , 65370 , 112
48,65534 , 65368 , 112
49,65534 , 65368 , 112
50,0 , 65368 , 112
51,0 , 65368 , 112
52,65535 , 65368 , 112
53,65535 , 65368 , 113
54,65535 , 65369 , 110
55,65535 , 65368 , 112
56,65535 , 65368 , 112
57,65535 , 65369 , 112
58,65535 , 65369 , 111
59,65534 , 65367 , 112
60,65535 , 65368 , 113
61,65535 , 65368 , 113
62,65535 , 65370 , 113
63,65535 , 65370 , 112
64,65535 , 65369 , 112
65,65535 , 65369 , 112
66,65535 , 65369 , 112
67,65535 , 65369 , 111
68,65534 , 65369 , 112
69,0 , 65368 , 112
70,65534 , 65369 , 112
71,65534 , 65369 , 112
72,65535 , 65368 , 111
73,65535 , 65369 , 112
74,0 , 65368 , 112
75,0 , 65369 , 111
76,0 , 65369 , 111
77,65534 , 65368 , 112
78,65535 , 65369 , 112
79,65535 , 65368 , 112
80,0 , 65368 , 111
81,0 , 65368 , 111
82,0 , 65370 , 113
83,65535 , 65369 , 111
84,0 , 65369 , 113
85,0 , 65369 , 113
86,65535 , 65368 , 112
87,65534 , 65368 , 112
88,65534 , 65368 , 112
89,65535 , 65368 , 113
90,65535 , 65368 , 113
91,65534 , 65368 , 112
92,0 , 65368 , 112
93,65535 , 65367 , 112
94,65535 , 65368 , 112
95,65535 , 65368 , 112
96,65535 , 65369 , 112
97,65535 , 65369 , 111
98,65535 , 65369 , 112
99,0 , 65369 , 112
100,0 , 65369 , 112
101,0 , 65369 , 113
102,0 , 65369 , 113
103,65535 , 65369 , 113
104,65535 , 65369 , 112
105,65535 , 65369 , 112
106,65535 , 65369 , 112
107,65535 , 65369 , 112
108,65535 , 65369 , 112
109,65535 , 65368 , 111
110,65535 , 65368 , 111
111,65535 , 65369 , 112
112,65535 , 65369 , 112
113,0 , 65368 , 113
114,0 , 65368 , 112
115,65535 , 65368 , 112
116,0 , 65370 , 112
117,0 , 65370 , 112
118,0 , 65369 , 112
119,0 , 65369 , 112
120,65535 , 65368 , 113
121,0 , 65369 , 111
122,0 , 65369 , 111
123,65535 , 65370 , 112
124,65535 , 65370 , 112
125,65535 , 65368 , 113
126,65535 , 65368 , 113
127,65535 , 65368 , 111
128,65535 , 65368 , 112
129,65535 , 65368 , 112
130,65535 , 65369 , 112
131,65535 , 65369 , 112
132,0 , 65369 , 112
133,0 , 65369 , 112
134,0 , 65369 , 112
135,0 , 65369 , 113
136,0 , 65369 , 113
137,65535 , 65368 , 113
138,65535 , 65369 , 112
139,65535 , 65370 , 111
140,0 , 65369 , 112
141,0 , 65369 , 112
142,65535 , 65369 , 112
143,65535 , 65370 , 112
144,65535 , 65368 , 111
145,65535 , 65368 , 112
146,65535 , 65368 , 112
147,0 , 65367 , 112
148,65535 , 65368 , 112
149,65534 , 65369 , 112
150,65535 , 65368 , 111
151,65535 , 65368 , 111
152,65535 , 65369 , 112
153,65535 , 65369 , 112
154,65535 , 65369 , 112
155,65535 , 65370 , 112
156,65535 , 65370 , 112
157,65535 , 65370 , 112
158,65535 , 65368 , 112
159,0 , 65370 , 113
160,0 , 65370 , 113
161,65534 , 65370 , 112
162,65535 , 65368 , 113
163,65535 , 65368 , 112
164,65535 , 65368 , 112
165,65535 , 65368 , 112
166,0 , 65369 , 112
167,65535 , 65368 , 111
168,65534 , 65368 , 113
169,0 , 65368 , 112
170,0 , 65368 , 112
171,0 , 65368 , 112
172,65535 , 65369 , 112
173,65535 , 65368 , 111
174,65535 , 65368 , 111
175,65535 , 65368 , 111
176,65535 , 65369 , 113
177,65535 , 65370 , 112
178,65535 , 65370 , 113
179,65535 , 65370 , 113
180,65535 , 65370 , 113
181,65535 , 65369 , 112
182,65535 , 65369 , 112
183,65535 , 65369 , 112
184,65535 , 65368 , 113
185,65535 , 65368 , 113
186,65535 , 65369 , 112
187,65535 , 65369 , 112
188,0 , 65369 , 112
189,65535 , 65368 , 112
190,65535 , 65368 , 112
191,0 , 65369 , 112
192,0 , 65369 , 112
193,0 , 65369 , 112
194,0 , 65369 , 112
195,65534 , 65369 , 111
196,0 , 65369 , 112
197,0 , 65369 , 112
198,0 , 65370 , 113
199,0 , 65370 , 113
200,65535 , 65369 , 111
201,65535 , 65369 , 112
202,65535 , 65369 , 112
203,65535 , 65369 , 112
204,65535 , 65369 , 112
205,0 , 65369 , 113
206,0 , 65369 , 113
207,65535 , 65368 , 111
208,0 , 65368 , 112
209,0 , 65368 , 112
210,0 , 65369 , 112
211,0 , 65369 , 112
212,0 , 65369 , 113
213,65535 , 65368 , 112
214,65535 , 65369 , 113
215,65535 , 65368 , 112
216,65535 , 65368 , 112
217,0 , 65369 , 112
218,0 , 65369 , 112
219,65535 , 65369 , 113
220,65535 , 65369 , 112
221,65535 , 65369 , 112
222,0 , 65368 , 113
223,0 , 65370 , 113
224,0 , 65368 , 112
225,0 , 65368 , 112
226,0 , 65369 , 111
227,0 , 65369 , 112
228,1 , 65368 , 111
229,1 , 65368 , 112
230,1 , 65368 , 112
231,0 , 65369 , 112
232,0 , 65369 , 112
233,4 , 65368 , 111
234,4 , 65369 , 113
235,4 , 65369 , 113
236,5 , 65369 , 111
237,5 , 65369 , 111
238,10 , 65368 , 110
239,10 , 65368 , 110
240,10 , 65368 , 110
241,12 , 65367 , 110
242,12 , 65367 , 110
243,29 , 65361 , 106
244,29 , 65361 , 106
245,33 , 65359 , 104
246,33 , 65359 , 104
247,37 , 65357 , 102
248,100 , 65293 , 70
249,100 , 65293 , 70
250,99 , 65276 , 63
251,99 , 65276 , 63
252,99 , 65258 , 52
253,65502 , 65317 , 65527
254,11 , 65319 , 65531
255,39 , 65294 , 65516
256,39 , 65294 , 65516
257,51 , 65266 , 65513
258,26 , 65312 , 65345
259,7 , 65308 , 65349
260,65531 , 65311 , 65361
261,65531 , 65311 , 65361
262,65519 , 65319 , 65381
263,65487 , 65327 , 65527
264,65483 , 65326 , 2
265,65479 , 65325 , 13
266,65479 , 65325 , 13
267,65479 , 65328 , 21
268,65478 , 65322 , 51
269,65477 , 65320 , 51
270,65478 , 65320 , 52
271,65478 , 65320 , 52
272,65477 , 65319 , 52
273,65473 , 65312 , 48
274,65470 , 65311 , 48
275,65470 , 65311 , 48
276,65469 , 65308 , 47
277,65469 , 65308 , 46
278,65438 , 65299 , 46
279,65434 , 65298 , 47
280,65434 , 65298 , 47
281,65429 , 65298 , 48
282,65424 , 65298 , 50
283,65397 , 65309 , 66
284,65394 , 65310 , 67
285,65394 , 65310 , 67
286,65394 , 65310 , 69
287,65393 , 65311 , 69
288,65382 , 65323 , 83
