i,X,Y,Z
0,2 , 65385 , 122
1,2 , 65385 , 122
2,1 , 65386 , 123
3,1 , 65386 , 123
4,2 , 65387 , 122
5,0 , 65387 , 122
6,0 , 65387 , 122
7,2 , 65387 , 122
8,2 , 65387 , 122
9,1 , 65388 , 122
10,1 , 65388 , 122
11,1 , 65388 , 123
12,1 , 65388 , 122
13,1 , 65388 , 122
14,1 , 65386 , 122
15,1 , 65386 , 122
16,0 , 65387 , 123
17,0 , 65387 , 122
18,1 , 65388 , 122
19,1 , 65387 , 123
20,1 , 65387 , 123
21,1 , 65386 , 122
22,0 , 65387 , 123
23,1 , 65387 , 123
24,1 , 65387 , 123
25,1 , 65386 , 122
26,1 , 65387 , 121
27,1 , 65387 , 123
28,1 , 65388 , 123
29,1 , 65388 , 123
30,1 , 65387 , 122
31,1 , 65387 , 122
32,2 , 65387 , 122
33,1 , 65386 , 123
34,1 , 65386 , 123
35,0 , 65388 , 121
36,0 , 65388 , 121
37,0 , 65387 , 122
38,0 , 65387 , 122
39,1 , 65386 , 123
40,1 , 65387 , 123
41,1 , 65387 , 123
42,1 , 65387 , 121
43,1 , 65387 , 121
44,0 , 65387 , 123
45,0 , 65387 , 123
46,0 , 65387 , 123
47,1 , 65387 , 122
48,2 , 65386 , 122
49,0 , 65387 , 122
50,0 , 65387 , 122
51,1 , 65386 , 122
52,1 , 65386 , 122
53,1 , 65387 , 122
54,1 , 65387 , 122
55,0 , 65387 , 122
56,0 , 65388 , 123
57,1 , 65387 , 123
58,2 , 65386 , 123
59,2 , 65386 , 123
60,0 , 65387 , 122
61,0 , 65387 , 122
62,0 , 65387 , 123
63,2 , 65387 , 122
64,2 , 65387 , 122
65,1 , 65387 , 122
66,1 , 65387 , 122
67,0 , 65387 , 122
68,0 , 65387 , 122
69,2 , 65385 , 122
70,1 , 65387 , 123
71,1 , 65387 , 123
72,65535 , 65387 , 122
73,65535 , 65387 , 122
74,1 , 65387 , 122
75,0 , 65388 , 122
76,0 , 65388 , 122
77,1 , 65386 , 123
78,1 , 65386 , 123
79,0 , 65388 , 123
80,0 , 65388 , 123
81,1 , 65388 , 121
82,0 , 65387 , 123
83,0 , 65387 , 123
84,1 , 65387 , 122
85,1 , 65387 , 122
86,0 , 65386 , 122
87,0 , 65387 , 121
88,0 , 65388 , 121
89,0 , 65388 , 121
90,1 , 65387 , 122
91,1 , 65387 , 122
92,0 , 65388 , 123
93,0 , 65387 , 123
94,0 , 65387 , 123
95,1 , 65387 , 122
96,1 , 65387 , 122
97,1 , 65387 , 122
98,0 , 65387 , 122
99,0 , 65387 , 122
100,2 , 65387 , 122
101,2 , 65387 , 122
102,2 , 65388 , 123
103,2 , 65388 , 123
104,0 , 65386 , 122
105,1 , 65388 , 122
106,1 , 65388 , 122
107,2 , 65388 , 122
108,2 , 65388 , 122
109,1 , 65388 , 122
110,1 , 65388 , 122
111,1 , 65389 , 122
112,0 , 65388 , 123
113,0 , 65388 , 123
114,1 , 65387 , 122
115,1 , 65387 , 122
116,0 , 65388 , 122
117,1 , 65387 , 123
118,1 , 65387 , 121
119,2 , 65387 , 122
120,2 , 65387 , 122
121,1 , 65388 , 122
122,0 , 65388 , 123
123,1 , 65387 , 122
124,1 , 65387 , 122
125,0 , 65387 , 122
126,1 , 65388 , 122
127,0 , 65387 , 122
128,1 , 65388 , 123
129,1 , 65388 , 123
130,1 , 65387 , 122
131,1 , 65387 , 122
132,1 , 65388 , 122
133,65535 , 65388 , 122
134,65535 , 65388 , 122
135,1 , 65388 , 122
136,1 , 65388 , 122
137,0 , 65388 , 122
138,0 , 65388 , 122
139,1 , 65387 , 122
140,1 , 65388 , 122
141,1 , 65388 , 122
142,0 , 65387 , 122
143,0 , 65387 , 122
144,1 , 65387 , 121
145,1 , 65387 , 121
146,0 , 65387 , 121
147,65535 , 65386 , 122
148,65535 , 65386 , 122
149,0 , 65388 , 122
150,0 , 65388 , 122
151,0 , 65387 , 123
152,1 , 65387 , 121
153,1 , 65387 , 121
154,1 , 65388 , 122
155,1 , 65388 , 122
156,0 , 65388 , 122
157,0 , 65388 , 121
158,0 , 65388 , 123
159,1 , 65387 , 122
160,1 , 65387 , 122
161,0 , 65387 , 122
162,0 , 65387 , 122
163,1 , 65387 , 122
164,1 , 65387 , 122
165,0 , 65387 , 121
166,0 , 65387 , 121
167,1 , 65387 , 122
168,1 , 65388 , 122
169,1 , 65388 , 122
170,0 , 65388 , 123
171,0 , 65388 , 123
172,65535 , 65387 , 123
173,65280 , 65387 , 121
174,0 , 65387 , 121
175,1 , 65388 , 122
176,1 , 65388 , 122
177,0 , 65388 , 121
178,0 , 65388 , 121
179,1 , 65387 , 122
180,0 , 65388 , 122
181,0 , 65388 , 122
182,1 , 65387 , 121
183,1 , 65387 , 121
184,1 , 65388 , 121
185,1 , 65388 , 121
186,1 , 65386 , 122
187,0 , 65387 , 122
188,0 , 65387 , 122
189,1 , 65385 , 122
190,1 , 65385 , 122
191,1 , 65388 , 121
192,2 , 65387 , 121
193,1 , 65387 , 122
194,1 , 65387 , 122
195,0 , 65386 , 120
196,1 , 65388 , 121
197,0 , 65387 , 121
198,1 , 65388 , 121
199,1 , 65388 , 121
200,1 , 65387 , 121
201,1 , 65387 , 121
202,2 , 65388 , 121
203,3 , 65387 , 120
204,3 , 65387 , 120
205,3 , 65388 , 119
206,3 , 65388 , 119
207,8 , 65388 , 116
208,8 , 65388 , 116
209,9 , 65386 , 115
210,11 , 65385 , 116
211,11 , 65385 , 116
212,30 , 65378 , 104
213,30 , 65378 , 104
214,33 , 65376 , 102
215,39 , 65373 , 100
216,39 , 65373 , 100
217,9 , 65067 , 65
218,9 , 65067 , 65
219,65408 , 65085 , 51
220,65408 , 65085 , 51
221,65315 , 65204 , 28
222,107 , 65412 , 65188
223,107 , 65412 , 65188
224,115 , 65407 , 65134
225,115 , 65407 , 65134
226,123 , 65405 , 65090
227,92 , 65305 , 65206
228,92 , 65305 , 65206
229,72 , 65299 , 65239
230,72 , 65299 , 65239
231,50 , 65295 , 65269
232,65504 , 65327 , 65442
233,65504 , 65327 , 65442
234,65502 , 65331 , 65451
235,65502 , 65331 , 65451
236,65499 , 65334 , 65461
237,65487 , 65355 , 65529
238,65487 , 65355 , 65529
