i,X,Y,Z
0,65247 , 65396 , 65512
1,65247 , 65395 , 65511
2,65247 , 65396 , 65511
3,65247 , 65396 , 65511
4,65246 , 65395 , 65512
5,65248 , 65395 , 65512
6,65247 , 65396 , 65512
7,65247 , 65396 , 65511
8,65247 , 65396 , 65511
9,65247 , 65396 , 65511
10,65248 , 65395 , 65511
11,65247 , 65395 , 65511
12,65248 , 65396 , 65513
13,65248 , 65396 , 65513
14,65247 , 65396 , 65512
15,65247 , 65397 , 65510
16,65246 , 65396 , 65511
17,65248 , 65395 , 65512
18,65248 , 65395 , 65512
19,65248 , 65395 , 65512
20,65247 , 65395 , 65510
21,65247 , 65395 , 65510
22,65247 , 65396 , 65511
23,65247 , 65396 , 65511
24,65247 , 65396 , 65511
25,65247 , 65395 , 65512
26,65247 , 65395 , 65512
27,65246 , 65396 , 65511
28,65246 , 65396 , 65511
29,65247 , 65396 , 65511
30,65247 , 65396 , 65512
31,65247 , 65396 , 65512
32,65247 , 65395 , 65512
33,65247 , 65395 , 65512
34,65247 , 65395 , 65512
35,65246 , 65395 , 65511
36,65246 , 65395 , 65511
37,65247 , 65396 , 65511
38,65247 , 65396 , 65512
39,65247 , 65396 , 65512
40,65247 , 65395 , 65511
41,65247 , 65395 , 65511
42,65248 , 65397 , 65511
43,65246 , 65397 , 65512
44,65246 , 65397 , 65512
45,65248 , 65396 , 65513
46,65248 , 65396 , 65513
47,65247 , 65396 , 65512
48,65248 , 65396 , 65511
49,65248 , 65396 , 65511
50,65247 , 65396 , 65511
51,65248 , 65395 , 65511
52,65248 , 65395 , 65511
53,65246 , 65396 , 65512
54,65246 , 65396 , 65512
55,65248 , 65396 , 65511
56,65246 , 65396 , 65512
57,65246 , 65396 , 65512
58,65247 , 65396 , 65511
59,65247 , 65396 , 65511
60,65248 , 65396 , 65513
61,65247 , 65397 , 65512
62,65247 , 65397 , 65512
63,65248 , 65396 , 65511
64,65248 , 65396 , 65511
65,65246 , 65397 , 65511
66,65248 , 65396 , 65512
67,65248 , 65396 , 65512
68,65248 , 65396 , 65511
69,65247 , 65395 , 65512
70,65247 , 65396 , 65511
71,65247 , 65395 , 65512
72,65247 , 65395 , 65512
73,65247 , 65396 , 65512
74,65247 , 65396 , 65511
75,65248 , 65395 , 65512
76,65247 , 65395 , 65512
77,65247 , 65395 , 65512
78,65248 , 65396 , 65512
79,65247 , 65395 , 65511
80,65248 , 65396 , 65512
81,65247 , 65396 , 65510
82,65247 , 65396 , 65512
83,65247 , 65395 , 65512
84,65248 , 65396 , 65511
85,65248 , 65396 , 65511
86,65246 , 65395 , 65512
87,65247 , 65396 , 65512
88,65247 , 65396 , 65512
89,65247 , 65397 , 65512
90,65247 , 65396 , 65512
91,65248 , 65395 , 65512
92,65247 , 65397 , 65511
93,65247 , 65397 , 65511
94,65248 , 65395 , 65510
95,65248 , 65396 , 65511
96,65246 , 65396 , 65511
97,65247 , 65396 , 65510
98,65247 , 65396 , 65510
99,65247 , 65395 , 65512
100,65247 , 65395 , 65512
101,65247 , 65395 , 65512
102,65247 , 65395 , 65511
103,65247 , 65395 , 65511
104,65248 , 65396 , 65510
105,65247 , 65396 , 65512
106,65247 , 65396 , 65512
107,65247 , 65396 , 65511
108,65247 , 65396 , 65511
109,65247 , 65396 , 65511
110,65248 , 65396 , 65512
111,65248 , 65396 , 65512
112,65247 , 65397 , 65511
113,65246 , 65396 , 65511
114,65246 , 65396 , 65511
115,65246 , 65395 , 65512
116,65246 , 65395 , 65512
117,65247 , 65396 , 65512
118,65248 , 65395 , 65512
119,65248 , 65395 , 65512
120,65247 , 65396 , 65511
121,65247 , 65396 , 65511
122,65247 , 65396 , 65511
123,65248 , 65396 , 65511
124,65248 , 65396 , 65511
